id. Response ID	groupsInvolved[res]. In your research processes, did you actively involve one or more of the following groups(*)? [researchers from other disciplines]	groupsInvolved[busi]. In your research processes, did you actively involve one or more of the following groups(*)? [company/business representatives (incl. farmers)]	groupsInvolved[civsoc]. In your research processes, did you actively involve one or more of the following groups(*)? [representatives of NGOs, advocacy or other civil society groups]	groupsInvolved[policy]. In your research processes, did you actively involve one or more of the following groups(*)? [policy makers, public administrations, representatives from governmental agencies]	groupsInvolved[citiz]. In your research processes, did you actively involve one or more of the following groups(*)? [individual citizens (e.g. as beneficiaries, customers, or concerned persons)]	groupsInvolved[media]. In your research processes, did you actively involve one or more of the following groups(*)? [media representatives (traditional media, digital media (e.g. bloggers), journalists, community-led media, etc.)]	groupsInvolved[welfare]. In your research processes, did you actively involve one or more of the following groups(*)? [representatives from welfare- or education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	natureOfInvolvement[res]. What was the nature of involvement of those groups? [researchers from other disciplines]	natureOfInvolvement[busi]. What was the nature of involvement of those groups? [company/business representatives (incl. farmers)]	natureOfInvolvement[civsoc]. What was the nature of involvement of those groups? [ representatives of NGOs, advocacy or other civil society groups]	natureOfInvolvement[policy]. What was the nature of involvement of those groups? [ policy makers, public administrations, representatives from governmental agencies]	natureOfInvolvement[citiz]. What was the nature of involvement of those groups? [individual citizens (e.g. as beneficiaries, customers, or concerned persons)]	natureOfInvolvement[media]. What was the nature of involvement of those groups? [media representatives (traditional media, digital media (e.g. bloggers), journalists, community-led media, etc.)]	natureOfInvolvement[welfare]. What was the nature of involvement of those groups? [representatives from welfare- or education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	impactTargetGroup[pub]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [the general population]	impactTargetGroup[busi]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [businesses]	impactTargetGroup[socgr]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [specific social groups (e.g. women/men/non-binary, youth/elderly; migrants; or minorities/indigenous people)]	impactTargetGroup[welfare]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [welfare- and education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	impactTargetGroup[civsoc]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [NGOs, advocacy or other civil society groups]	impactTargetGroup[policy]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [policy-making, public administration, governmental agencies]	impactTargetGroup[acad]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [academia ]	kindOfChange[pub]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [the general population]	kindOfChange[busi]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [businesses]	kindOfChange[socgr]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [specific social groups]	kindOfChange[welfare]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [welfare- and education-providing institutions]	kindOfChange[civsoc]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [NGOs, advocacy or other civil society groups]	kindOfChange[policy]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [policy-making, public administration, governmental agencies]	kindOfChange[acad]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [academia]
2	quite centrally	only marginally	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)	consultative (provide information via interviews, online questionnaires, etc.)						0	0	0	0	0	0	10							changing understanding
3	quite centrally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	0	0	0	0	7							changing attitude
4	quite centrally	quite centrally	no	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)	collaborative (contributory + interpreting data and/or drawing conclusions)				consultative (provide information via interviews, online questionnaires, etc.)		1	5	0	0	0	0	8		changing understanding					changing understanding
5	quite centrally	no	no	no	only marginally	only marginally	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)				consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	0	0	0	0	0	0	10							changing understanding
6	only marginally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							5	0	0	0	0	0	10	changing understanding						changing understanding
7	only marginally	no	no	only marginally	no	only marginally	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)			consultative (provide information via interviews, online questionnaires, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	2	0	3	4	0	2	7			changing awareness	changing behaviour			changing understanding
8	no	no	no	no	no	no	no								2	2	1	1	1	1	8							changing understanding
10	quite centrally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	0	0	0	0	0							
11	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							4	5	2	4	1	1	6	changing awareness	changing awareness		changing awareness			changing attitude
12	only marginally	only marginally	no	no	no	only marginally	no	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)						6	7	0	0	0	0	9	other	other					other
15	only marginally	only marginally	no	only marginally	no	only marginally	only marginally	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)														
16	no	only marginally	no	no	no	no	no		consultative (provide information via interviews, online questionnaires, etc.)						2	2	5	0	0	0	5			changing attitude				changing attitude
17	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							5	3	3	3	3	2	8	changing understanding						changing understanding
20	no	no	no	no	no	no	no								7	7	0	0	0	7	8	changing understanding	changing behaviour				changing understanding	changing understanding
21	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							2	0	1	0	0	1	7							changing understanding
22	only marginally	no	no	quite centrally	no	only marginally	no	consultative (provide information via interviews, online questionnaires, etc.)			collaborative (contributory + interpreting data and/or drawing conclusions)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		5	1	1	1	1	7	5	changing understanding					changing understanding	changing understanding
23	quite centrally	only marginally	no	no	no	quite centrally	no	co-created (collaborative + participated in designing study and/or determining objectives)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		2	2	2	2	2	2	10							changing understanding
